data,ch1
2024-07-14T20:52:01+00:00,37.07
2024-07-14T20:53:01+00:00,37.94
2024-07-14T20:54:01+00:00,37.67
2024-07-14T20:55:01+00:00,37.91
2024-07-14T20:56:01+00:00,37.05
2024-07-14T20:57:01+00:00,38.37
2024-07-14T20:58:01+00:00,37.34
2024-07-14T20:59:01+00:00,37.47
2024-07-14T21:00:01+00:00,38.01
2024-07-14T21:01:01+00:00,37.94
2024-07-14T21:02:01+00:00,36.67
2024-07-14T21:03:01+00:00,38.20
2024-07-14T21:04:01+00:00,37.34
2024-07-14T21:05:01+00:00,37.67
2024-07-14T21:06:01+00:00,37.97
2024-07-14T21:07:01+00:00,37.42
2024-07-14T21:08:01+00:00,38.24
2024-07-14T21:09:01+00:00,37.56
2024-07-14T21:10:01+00:00,37.58
2024-07-14T21:11:01+00:00,37.00
2024-07-14T21:12:01+00:00,38.18
2024-07-14T21:13:01+00:00,36.90
2024-07-14T21:14:01+00:00,37.21
2024-07-14T21:15:01+00:00,37.84
2024-07-14T21:16:01+00:00,37.42
2024-07-14T21:17:01+00:00,36.86
2024-07-14T21:18:01+00:00,37.24
2024-07-14T21:19:01+00:00,37.46
2024-07-14T21:20:01+00:00,37.23
2024-07-14T21:21:01+00:00,37.55
2024-07-14T21:22:01+00:00,37.38
2024-07-14T21:23:01+00:00,37.68
2024-07-14T21:24:01+00:00,37.21
2024-07-14T21:25:01+00:00,37.08
2024-07-14T21:26:01+00:00,37.46
2024-07-14T21:27:01+00:00,36.85
2024-07-14T21:28:01+00:00,37.78
2024-07-14T21:29:01+00:00,37.30
2024-07-14T21:30:01+00:00,37.22
2024-07-14T21:31:01+00:00,36.87
2024-07-14T21:32:01+00:00,37.73
2024-07-14T21:33:01+00:00,37.58
2024-07-14T21:34:01+00:00,37.23
2024-07-14T21:35:01+00:00,37.48
2024-07-14T21:36:01+00:00,36.89
2024-07-14T21:37:01+00:00,37.58
2024-07-14T21:38:01+00:00,37.05
2024-07-14T21:39:01+00:00,36.60
2024-07-14T21:40:01+00:00,37.79
2024-07-14T21:41:01+00:00,37.30
2024-07-14T21:42:01+00:00,37.28
2024-07-14T21:43:01+00:00,37.13
2024-07-14T21:44:01+00:00,37.74
2024-07-14T21:45:01+00:00,37.35
2024-07-14T21:46:01+00:00,36.93
2024-07-14T21:47:01+00:00,36.92
2024-07-14T21:48:01+00:00,36.85
2024-07-14T21:49:01+00:00,36.49
2024-07-14T21:50:01+00:00,37.57
2024-07-14T21:51:01+00:00,37.17
2024-07-14T21:52:01+00:00,37.00
2024-07-14T21:53:01+00:00,37.75
2024-07-14T21:54:01+00:00,37.75
2024-07-14T21:55:01+00:00,36.47
2024-07-14T21:56:01+00:00,37.44
2024-07-14T21:57:01+00:00,37.66
2024-07-14T21:58:01+00:00,37.37
2024-07-14T21:59:01+00:00,37.79
2024-07-14T22:00:01+00:00,37.12
2024-07-14T22:01:01+00:00,37.55
2024-07-14T22:02:01+00:00,38.20
2024-07-14T22:03:01+00:00,38.23
2024-07-14T22:04:01+00:00,38.32
2024-07-14T22:05:01+00:00,37.36
2024-07-14T22:06:01+00:00,37.03
2024-07-14T22:07:01+00:00,37.11
2024-07-14T22:08:01+00:00,38.20
2024-07-14T22:09:01+00:00,37.81
2024-07-14T22:10:01+00:00,37.71
2024-07-14T22:11:01+00:00,38.35
2024-07-14T22:12:01+00:00,37.50
2024-07-14T22:13:01+00:00,37.84
2024-07-14T22:14:01+00:00,37.51
2024-07-14T22:15:01+00:00,37.70
2024-07-14T22:16:02+00:00,37.58
2024-07-14T22:17:01+00:00,37.22
2024-07-14T22:18:01+00:00,37.91
2024-07-14T22:19:01+00:00,37.63
2024-07-14T22:20:01+00:00,36.66
2024-07-14T22:21:01+00:00,36.88
2024-07-14T22:22:01+00:00,37.09
2024-07-14T22:23:01+00:00,36.52
2024-07-14T22:24:01+00:00,37.55
2024-07-14T22:25:01+00:00,36.91
2024-07-14T22:26:01+00:00,37.15
2024-07-14T22:27:01+00:00,36.98
2024-07-14T22:28:01+00:00,37.28
2024-07-14T22:29:01+00:00,37.05
2024-07-14T22:30:01+00:00,36.25
2024-07-14T22:31:01+00:00,36.54
2024-07-14T22:32:01+00:00,36.69
2024-07-14T22:33:01+00:00,36.51
2024-07-14T22:34:01+00:00,36.35
2024-07-14T22:35:01+00:00,36.77
2024-07-14T22:36:01+00:00,36.52
2024-07-14T22:37:01+00:00,37.08
2024-07-14T22:38:01+00:00,37.01
2024-07-14T22:39:01+00:00,37.99
2024-07-14T22:40:01+00:00,37.46
2024-07-14T22:41:01+00:00,38.03
2024-07-14T22:42:01+00:00,37.49
2024-07-14T22:43:01+00:00,36.82
2024-07-14T22:44:01+00:00,36.48
2024-07-14T22:45:01+00:00,36.94
2024-07-14T22:46:01+00:00,37.15
2024-07-14T22:47:01+00:00,38.02
2024-07-14T22:48:01+00:00,37.07
2024-07-14T22:49:01+00:00,37.86
2024-07-14T22:50:01+00:00,37.77
2024-07-14T22:51:01+00:00,38.39
2024-07-14T22:52:01+00:00,38.05
2024-07-14T22:53:01+00:00,37.25
2024-07-14T22:54:01+00:00,36.44
2024-07-14T22:55:01+00:00,37.58
2024-07-14T22:56:01+00:00,37.92
2024-07-14T22:57:01+00:00,37.01
2024-07-14T22:58:01+00:00,37.06
2024-07-14T22:59:01+00:00,37.93
2024-07-14T23:00:01+00:00,37.01
2024-07-14T23:01:01+00:00,37.39
2024-07-14T23:02:01+00:00,37.27
2024-07-14T23:03:01+00:00,36.96
2024-07-14T23:04:01+00:00,37.85
2024-07-14T23:05:01+00:00,37.06
2024-07-14T23:06:01+00:00,37.68
2024-07-14T23:07:01+00:00,37.36
2024-07-14T23:08:01+00:00,37.34
2024-07-14T23:09:01+00:00,36.67
2024-07-14T23:10:01+00:00,37.76
2024-07-14T23:11:01+00:00,36.73
2024-07-14T23:12:01+00:00,37.37
2024-07-14T23:13:01+00:00,37.54
2024-07-14T23:14:01+00:00,37.36
2024-07-14T23:15:01+00:00,37.56
2024-07-14T23:16:01+00:00,37.77
2024-07-14T23:17:01+00:00,36.17
2024-07-14T23:18:01+00:00,37.43
2024-07-14T23:19:01+00:00,37.36
2024-07-14T23:20:01+00:00,37.44
2024-07-14T23:21:01+00:00,37.70
2024-07-14T23:22:01+00:00,37.62
2024-07-14T23:23:01+00:00,37.24
2024-07-14T23:24:01+00:00,37.01
2024-07-14T23:25:01+00:00,38.40
2024-07-14T23:26:01+00:00,36.77
2024-07-14T23:27:01+00:00,38.02
2024-07-14T23:28:01+00:00,37.35
2024-07-14T23:29:01+00:00,37.72
2024-07-14T23:30:01+00:00,37.28
2024-07-14T23:31:01+00:00,37.82
2024-07-14T23:32:01+00:00,37.51
2024-07-14T23:33:01+00:00,37.39
2024-07-14T23:34:01+00:00,37.44
2024-07-14T23:35:01+00:00,37.58
2024-07-14T23:36:01+00:00,36.86
2024-07-14T23:37:01+00:00,37.80
2024-07-14T23:38:01+00:00,37.90
2024-07-14T23:39:01+00:00,36.61
2024-07-14T23:40:01+00:00,38.03
2024-07-14T23:41:01+00:00,38.18
2024-07-14T23:42:01+00:00,38.21
2024-07-14T23:43:01+00:00,37.88
2024-07-14T23:44:01+00:00,37.64
2024-07-14T23:45:01+00:00,37.09
2024-07-14T23:46:01+00:00,37.91
2024-07-14T23:47:01+00:00,37.53
2024-07-14T23:48:01+00:00,36.94
2024-07-14T23:49:01+00:00,37.16
2024-07-14T23:50:01+00:00,37.11
2024-07-14T23:51:01+00:00,37.23
2024-07-14T23:52:01+00:00,38.28
2024-07-14T23:53:01+00:00,37.69
2024-07-14T23:54:01+00:00,37.10
2024-07-14T23:55:01+00:00,37.59
2024-07-14T23:56:01+00:00,37.51
2024-07-14T23:57:01+00:00,37.48
2024-07-14T23:58:01+00:00,37.54
2024-07-14T23:59:01+00:00,37.12
2024-07-15T00:00:01+00:00,37.46
2024-07-15T00:01:01+00:00,37.86
2024-07-15T00:02:01+00:00,37.74
2024-07-15T00:03:01+00:00,37.38
2024-07-15T00:04:01+00:00,37.84
2024-07-15T00:05:01+00:00,37.00
2024-07-15T00:06:01+00:00,37.57
2024-07-15T00:07:01+00:00,37.87
2024-07-15T00:08:01+00:00,37.98
2024-07-15T00:09:01+00:00,37.54
2024-07-15T00:10:01+00:00,37.73
2024-07-15T00:11:01+00:00,37.40
2024-07-15T00:12:01+00:00,37.93
2024-07-15T00:13:01+00:00,37.11
2024-07-15T00:14:01+00:00,36.86
2024-07-15T00:15:01+00:00,36.91
2024-07-15T00:16:01+00:00,36.97
2024-07-15T00:17:01+00:00,37.12
2024-07-15T00:18:01+00:00,37.38
2024-07-15T00:19:01+00:00,38.16
2024-07-15T00:20:01+00:00,37.38
2024-07-15T00:21:01+00:00,37.54
2024-07-15T00:22:01+00:00,37.55
2024-07-15T00:23:01+00:00,37.18
2024-07-15T00:24:01+00:00,37.18
2024-07-15T00:25:01+00:00,37.84
2024-07-15T00:26:01+00:00,36.91
2024-07-15T00:27:01+00:00,37.92
2024-07-15T00:28:01+00:00,37.23
2024-07-15T00:29:01+00:00,37.10
2024-07-15T00:30:01+00:00,36.86
2024-07-15T00:31:01+00:00,37.84
2024-07-15T00:32:01+00:00,36.03
2024-07-15T00:33:01+00:00,37.47
2024-07-15T00:34:01+00:00,36.56
2024-07-15T00:35:01+00:00,36.68
2024-07-15T00:36:01+00:00,36.50
2024-07-15T00:37:01+00:00,36.93
2024-07-15T00:38:01+00:00,37.78
2024-07-15T00:39:01+00:00,37.40
2024-07-15T00:40:01+00:00,37.06
2024-07-15T00:41:01+00:00,36.93
2024-07-15T00:42:01+00:00,37.27
2024-07-15T00:43:01+00:00,37.23
2024-07-15T00:44:01+00:00,37.04
2024-07-15T00:45:01+00:00,36.87
2024-07-15T00:46:01+00:00,37.75
2024-07-15T00:47:01+00:00,36.94
2024-07-15T00:48:01+00:00,37.40
2024-07-15T00:49:01+00:00,36.63
2024-07-15T00:50:01+00:00,37.10
2024-07-15T00:51:01+00:00,37.50
2024-07-15T00:52:01+00:00,38.41
2024-07-15T00:53:01+00:00,37.90
2024-07-15T00:54:01+00:00,37.24
2024-07-15T00:55:01+00:00,37.15
2024-07-15T00:56:01+00:00,37.06
2024-07-15T00:57:01+00:00,36.63
2024-07-15T00:58:01+00:00,36.44
2024-07-15T00:59:01+00:00,37.50
2024-07-15T01:00:01+00:00,36.78
